Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"python.ejecutarAleatoriosPython.runPython(""Produccion"")",Chrome 80.0.3987.132,,,2020-03-13 10:09:10,2020-03-13 10:09:15,"5,206s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Agregar_Orden_Produccion,Chrome 80.0.3987.132,,,2020-03-13 10:09:15,2020-03-13 10:09:15,"0,471s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Orden_Produccion.xlsx,Chrome 80.0.3987.132,,,2020-03-13 10:09:15,2020-03-13 10:09:15,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-13 10:09:15,2020-03-13 10:09:15,"0,039s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-13 10:09:15,2020-03-13 10:09:15,"0,001s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Inventario,Chrome 80.0.3987.132,,,2020-03-13 10:09:15,2020-03-13 10:09:19,"3,902s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Inventario"")",Chrome 80.0.3987.132,,,2020-03-13 10:09:16,2020-03-13 10:09:19,"3,585s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Agregar_Inventario,Chrome 80.0.3987.132,,,2020-03-13 10:09:19,2020-03-13 10:09:20,"0,297s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Inventario.xlsx,Chrome 80.0.3987.132,,,2020-03-13 10:09:20,2020-03-13 10:09:20,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-13 10:09:20,2020-03-13 10:09:20,"0,025s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-13 10:09:20,2020-03-13 10:09:20,"0,000s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Despachar,Chrome 80.0.3987.132,,,2020-03-13 10:09:20,2020-03-13 10:09:25,"5,418s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Despacho"")",Chrome 80.0.3987.132,,,2020-03-13 10:09:20,2020-03-13 10:09:25,"4,977s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Agregar_Despacho,Chrome 80.0.3987.132,,,2020-03-13 10:09:25,2020-03-13 10:09:25,"0,414s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Despacho.xlsx,Chrome 80.0.3987.132,,,2020-03-13 10:09:25,2020-03-13 10:09:25,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-13 10:09:25,2020-03-13 10:09:25,"0,028s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-13 10:09:25,2020-03-13 10:09:25,"0,000s",PASSED
