Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 10:48:54,2020-03-10 10:48:54,"0,092s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 10:48:54,2020-03-10 10:53:21,"4m - 27,070s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Inventario,Chrome 80.0.3987.132,,,2020-03-10 10:53:21,2020-03-10 10:53:31,"9,602s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Inventario"")",Chrome 80.0.3987.132,,,2020-03-10 10:53:22,2020-03-10 10:53:31,"9,327s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Agregar_Inventario,Chrome 80.0.3987.132,,,2020-03-10 10:53:31,2020-03-10 10:56:31,"2m - 59,455s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Inventario.xlsx,Chrome 80.0.3987.132,,,2020-03-10 10:53:31,2020-03-10 10:53:31,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 10:53:31,2020-03-10 10:53:31,"0,022s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 10:53:31,2020-03-10 10:56:31,"2m - 59,185s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Despachar,Chrome 80.0.3987.132,,,2020-03-10 10:56:31,2020-03-10 10:56:38,"7,920s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Despacho"")",Chrome 80.0.3987.132,,,2020-03-10 10:56:31,2020-03-10 10:56:38,"7,705s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Agregar_Despacho,Chrome 80.0.3987.132,,,2020-03-10 10:56:38,2020-03-10 10:58:39,"2m - 0,992s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Despacho.xlsx,Chrome 80.0.3987.132,,,2020-03-10 10:56:39,2020-03-10 10:56:39,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 10:56:39,2020-03-10 10:56:39,"0,020s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 10:56:39,2020-03-10 10:58:39,"2m - 0,684s",PASSED
